country,domain,delphi_train_mae,delphi_overall_mae,delphi_last15_mae,resnet-loss=mae-no_time-lr=1e-5_InSample_mae,resnet-loss=mae-no_time-lr=1e-5_OutSample_mae,resnet-loss=mae-no_time-lr=1e-5_InSample_mape,resnet-loss=mae-no_time-lr=1e-5_OutSample_mape
Cuba,,23.832079722158397,39.66656017895134,87.12520458399007,107.49114990234376,73.49567413330078,0.1481264531612396,0.0377036891877651
Australia,South Australia,14.65644070956273,9.71614850166103,0.6773887185639182,325.3701171875,381.4298095703125,0.4433110356330871,0.4647559225559234
Congo,,11.427960332211738,58.548958530401535,205.384903338765,324.3645324707031,115.1410903930664,0.5141522288322449,0.1540310829877853
Cambodia,,0.7964879459430748,1.0609065402155582,2.207600902206184,427.4538269042969,501.8584899902344,0.7566899061203003,0.8022315502166748
Australia,Tasmania,11.625260223160032,10.916517540160964,9.554885066231096,396.2752380371094,460.7480773925781,0.6397583484649658,0.6689645051956177
Cayman Islands,,3.0430933214703315,3.520136694050008,5.15024458323305,429.9015502929688,484.2174072265625,0.6970784068107605,0.7053451538085938
Canada,Nova Scotia,89.51388945310347,84.89803479144231,78.6724928723449,91.18085479736328,9.139423370361328,0.1776877790689468,0.0086629055440425
Canada,Prince Edward Island,1.5868621367964664,7.426095916436865,24.693753171840207,443.8570861816406,500.2262878417969,0.7759804129600525,0.7886245846748352
China,,2375.348211630504,3561.171142761955,5943.91297149929,4908.1494140625,13174.67578125,0.0949870720505714,0.1394512802362442
Australia,,140.60672838816646,139.62675111128493,75.92579431141597,717.630126953125,1251.1102294921875,0.1850922107696533,0.1535652428865432
British Virgin Islands,,3.3813865004441808,10.48813150914422,36.13260487900228,449.6459045410156,513.7694091796875,0.7484300136566162,0.7699812054634094
Czechia,,293.2725965350023,480.9116145892775,1025.0188406169104,550.1141967773438,331.1177978515625,0.12178485840559,0.0397931896150112
Andorra,,17.383043005569096,15.480141928336275,10.582618997485026,124.75711059570312,37.2400016784668,0.2013920396566391,0.0467083156108856
Botswana,,27.10958237578832,111.274037568971,376.0301610851384,195.09066772460935,481.02923583984375,0.3138940632343292,0.5243103504180908
Bermuda,,2.3419542764995414,2.5069244897513308,3.526296078408954,460.1506958007813,526.4725952148438,0.7601538896560669,0.7841041684150696
Cameroon,,78.9812422833406,499.7062737786136,1969.7817748200612,80.69709014892578,2578.806396484375,0.0693174079060554,0.8915640115737915
Canada,Nunavut,6.370546437007039,6.311475854377865,9.09843880829624,357.6859436035156,398.0345764160156,0.597143292427063,0.5952634811401367
Australia,New South Wales,72.30462904203758,89.17400597834903,115.33297426873445,134.01495361328125,167.88023376464844,0.1089710816740989,0.0520609505474567
Canada,New Brunswick,3.5817401263825546,7.055589479424287,20.1065578232097,439.5302429199219,500.9367370605469,0.763482391834259,0.7857922911643982
Canada,British Columbia,40.04262790149959,191.1901936882776,692.9656504770404,96.30862426757812,465.44476318359375,0.0949532464146614,0.2449134439229965
Canada,Ontario,315.0575399716545,945.6995895984612,2852.996568721981,830.5097045898438,2997.951171875,0.136686161160469,0.13173308968544
Bhutan,,5.042394727946456,5.996271229232543,11.195087124695547,380.7960205078125,350.7141418457031,0.6867467164993286,0.564733624458313
Bulgaria,,61.939525942233374,436.675325644146,1725.9635537127351,369.6567993164063,886.3973388671875,0.3939979970455169,0.701949417591095
Chad,,17.562532937797865,17.877045996447993,15.640709745517247,83.92244720458984,4.027587890625,0.1664689481258392,0.004651406314224
Austria,,87.77213604139884,187.66986859882525,515.5184298552782,1216.1146240234375,2483.54248046875,0.1895545274019241,0.1661445796489715
Bahamas,,2.185700290438824,5494.793955463488,25879.47236990584,445.687255859375,293.18316650390625,0.7842226028442383,0.4658212065696716
Belize,,55.627367776454776,177.75040402084028,576.4556699418356,70.58749389648438,394.9353332519531,0.1160910427570343,0.2230398505926132
Canada,Alberta,81.85356184534591,309.6424674644382,912.6966073402403,187.82025146484372,1628.2652587890625,0.113146848976612,0.1989000588655471
Cook Islands,,403.9496882910998,830.9956081566239,1789.8233381252378,339.7089233398437,1811.7845458984373,0.2383768260478973,0.5544381737709045
Australia,Queensland,13.524116453627176,14.834070011754328,20.362788549552185,51.86222457885742,39.08027267456055,0.0779800936579704,0.0357890613377094
Albania,,11.758171882869206,18.794966105929703,43.518011749843225,109.28631591796876,133.8139190673828,0.2154781520366668,0.1586872339248657
Argentina,,90.50801176385905,3231.5234066390594,14069.443540632508,277.4229736328125,2686.060302734375,0.1385327875614166,0.3945086300373077
Belgium,,697.7551474439884,1370.9201203339735,3295.538718303747,2845.06884765625,4729.873046875,0.1315521150827407,0.0871627032756805
Benin,,27.05147072572576,102.2751785987365,280.4063604458956,295.11248779296875,474.3186645507813,0.5058762431144714,0.5850582122802734
Burundi,,11.953807414729097,9.99865911577526,4.715090110040978,329.548095703125,236.84410095214844,0.5791501998901367,0.3659847974777221
American Samoa,,347.73682289269163,245.37526394186148,71.8676600372377,341.2224426269531,486.1612243652344,0.2340115308761596,0.0774428471922874
Central African Republic,,252.62754745642016,491.6846120893532,1241.2248125901317,150.86752319335938,671.5343017578125,0.2155486494302749,0.1800239831209182
Faroe Islands,,10.292695914514182,11.155646599740468,12.783052123217368,444.8541564941406,523.5640869140625,0.6944615840911865,0.7368287444114685
Comoros,,12.725596731170413,16.788957764563225,29.625664237190254,353.2021484375,329.02655029296875,0.6068155765533447,0.5020716786384583
Djibouti,,549.2670507457975,1288.438852671674,4237.132132466121,177.83038330078125,1715.515625,0.2318058609962463,0.8616279363632202
France,,3477.137259230804,3511.2701073306785,3689.864494305032,6261.6005859375,17045.900390625,1.3612732887268066,2.7500908374786377
Canada,Manitoba,3.081525511665542,4.964566221017529,10.048388916794632,300.4819030761719,335.2197265625,0.5279095768928528,0.5325868725776672
Angola,,17.699148223562364,543.8145443415829,2398.578123766767,249.87632751464844,741.6513061523438,0.4253899753093719,0.9760699272155762
Finland,,126.52939086062656,309.2294196911568,775.1838379373634,317.0555114746094,393.7374877929688,0.0809748694300651,0.0697844624519348
Bahrain,,79.92769412611293,466.1147660519527,1684.1471139862535,151.52613830566406,1204.1036376953125,0.2322820872068405,0.3553462624549866
Algeria,,115.71815875329132,37765.896543970695,176997.03613978004,205.6259765625,2222.30908203125,0.1243463009595871,0.443449318408966
Colombia,,160.39815578116128,10741.618891535272,49495.20131224755,253.58255004882807,6618.05224609375,0.1107860133051872,0.7981783747673035
Costa Rica,,10.957450816973786,43.71105875472569,157.61150501714366,98.88833618164062,130.42337036132812,0.1914121061563491,0.177016481757164
Brazil,,461.333404881793,93139.56232544896,430784.0050722892,1372.6202392578125,104498.875,0.1511979401111602,1.2341262102127075
Egypt,,56.31426907878839,760.3040845560553,3030.942280554876,209.88333129882807,2768.130615234375,0.1786786019802093,0.3528713881969452
Gambia,,89.73290085252457,113.6355330579426,184.2717275649953,116.6312255859375,206.2763214111328,0.1567120850086212,0.0639496445655822
Australia,Victoria,90.49681721792652,85.59205568204334,110.18417171766082,43.65670394897461,125.15374755859376,0.0690600872039794,0.0887164026498794
Chile,,171.92438621195507,5773.046842093657,23956.101421487358,1016.7763671875,20974.8203125,0.1456580460071563,1.1791599988937378
Australia,Australian Capital Territory,0.6698698791625735,0.5937016971013804,0.0899207281509916,453.7395629882813,533.0843505859375,0.7845832109451294,0.8321067094802856
Guadeloupe,,8.319211162029175,10.540488263998697,17.361587987507566,430.7541809082031,499.27679443359375,0.7233947515487671,0.757955014705658
Gibraltar,,6.339881892565445,9.4993182261662,22.701009157245167,427.5302734375,477.7198181152344,0.7435835003852844,0.74892258644104
Antigua and Barbuda,,1.137137571996184,1.529625842806521,2.5961364856416576,427.3389892578125,485.2114868164063,0.7600222826004028,0.7773705720901489
Guernsey,,5.604572094475495,6.507539661251103,8.261486942898697,314.9605407714844,367.8604736328125,0.5651932954788208,0.5934568047523499
Dominican Republic,,133.0503160555377,243.82627599999697,610.7178208642765,245.47164916992188,3535.891845703125,0.1067410483956337,0.3505418300628662
Ethiopia,,16.215608820516987,2924.954685780124,13306.474977424978,290.3540344238281,920.9688720703124,0.50379878282547,0.3255882263183594
Canada,Yukon,9.81047451630233,16.00350191055586,42.64443409774855,170.42047119140625,22.44210624694824,0.3285149037837982,0.0357213802635669
Canada,Quebec,378.8645420451509,1049.6000188951934,2965.0519259091875,2840.667236328125,5827.4921875,0.1999723017215728,0.1611348837614059
French Guiana,,13.98041936190117,459.5659641575229,1920.2237102603488,319.1736755371094,1609.503662109375,0.5546495318412781,2.3909752368927
Georgia,,8.816910068569378,26.227620283326864,77.94205773137828,149.5659637451172,98.0554656982422,0.2941808402538299,0.1506632268428802
French Polynesia,,25.55833575743265,305.9506745827766,1265.9187923446736,113.54653930664062,1032.6246337890625,0.204901173710823,0.5960808992385864
Grenada,,8.377971623205003,10.09703018664144,14.649958132372548,445.0207214355469,516.0921020507812,0.7438817620277405,0.7771393656730652
Guinea-Bissau,,40.32839901630364,34.893437118042755,33.09707862515568,139.5531005859375,200.38023376464844,0.1575234085321426,0.1392695754766464
Guatemala,,49.321202163331215,7631.451034172412,34829.827245202374,175.82691955566406,2502.612060546875,0.2565281093120575,0.5045048594474792
Eritrea,,14.395743883958136,348.7615244959081,1594.5032846756735,371.50048828125,375.8079223632813,0.6236041784286499,0.5648506283760071
Denmark,,258.00904074467724,492.7134222812665,1175.246641467156,424.0174255371094,505.5138549804688,0.1321560591459274,0.0515202991664409
Australia,Western Australia,10.308440570438249,10.583011385223822,15.861542852351333,170.36032104492188,157.20860290527344,0.2792995274066925,0.218923807144165
Cyprus,,43.57856993437954,44.69408056786354,50.96001145903578,79.85548400878906,42.432987213134766,0.1606066524982452,0.0482285916805267
Barbados,,1.7037058529291067,1673.6540203739066,7899.379749901595,432.4471130371094,463.64752197265625,0.749527633190155,0.7224568128585815
Germany,,5001.632604776895,6688.7812589821015,13091.361948689502,6326.8994140625,6896.55615234375,0.2998398840427398,0.0447595380246639
Guam,,1.760599347419492,7.194039342571374,25.80283480137105,462.1997375488281,519.9811401367188,0.7439132332801819,0.7556776404380798
Isle of Man,,7.744725975358838,5.242386633282136,0.8054455914959362,364.1432495117188,403.1137390136719,0.5531875491142273,0.5439294576644897
India,,125.77977222410884,5475.9003734644175,23438.50979842289,1237.93896484375,19805.69921875,0.2363305389881134,0.3155336081981659
Canada,Saskatchewan,7.402313696674624,18.11879450747715,37.27253240935003,221.50491333007807,20.209136962890625,0.4001227617263794,0.0318361893296241
Croatia,,86.35020396278236,82.87302719084332,92.3717706323636,125.9217300415039,124.2413330078125,0.0877536311745643,0.0533960126340389
Japan,,46.69204962294611,27122.87004340848,126485.20126003322,127.58255004882812,4954.79052734375,0.19310262799263,0.8933553099632263
Eswatini,,11.720640238931573,3664.791929586536,17010.30823350781,323.861328125,185.490234375,0.5545251965522766,0.2783024907112121
Estonia,,964.412270472627,7841.349590363135,33205.17323189618,776.5817260742188,428.64263916015625,0.281566172838211,0.0578848011791706
Greenland,,4.444891393994224,22.02818548427795,69.59914239032351,328.5862731933594,156.91775512695312,0.5609245896339417,0.2349117994308471
Ecuador,,1139.141813188649,24098.66971871061,98070.01973079496,1231.4739990234375,8107.8984375,0.2264458686113357,0.1933610886335373
Italy,,655.4155571351686,6998.798625137079,25627.399667651727,9445.740234375,12807.96484375,0.1355268210172653,0.0702391192317009
Equatorial Guinea,,42.98555485723232,27494.932765211357,128449.97148585824,154.17166137695312,646.18701171875,0.2033199816942215,0.3044867813587188
Mauritius,,14.077087150657016,16.881013926515894,21.108514125042877,254.59307861328125,291.6468505859375,0.4620009064674377,0.4664224982261657
Guinea,,47.44612144838487,132.32266599283105,433.0519096465916,146.2967071533203,657.1466064453125,0.2094387412071228,0.2168167829513549
Haiti,,59.50612291085845,209.17937745314563,697.9916945699459,261.7782287597656,803.86669921875,0.2108695805072784,0.1186808720231056
Kazakhstan,,90.44310301009745,755.6693876776818,3113.088002020087,165.94357299804688,2322.11767578125,0.1356260478496551,0.3616456091403961
Kyrgyzstan,,1963.45634522178,2091.068395851684,2737.639135043026,6504.697265625,1001.145263671875,0.2234121263027191,0.0173305999487638
Burkina Faso,,57.68248629053871,61.1968769024112,84.44300214253859,136.01425170898438,102.1904754638672,0.2426653802394867,0.1440376192331314
Kiribati,,448.42381975677193,1281.4419807880547,4446.248965194546,108.23639678955078,123.66873931884766,0.0719823613762855,0.0389003381133079
Malawi,,104.07875881172647,515.8727893087909,1911.9054330244128,82.67115020751953,780.513916015625,0.1466738134622573,0.305641770362854
Hungary,,77.06197374146377,101.7261856561703,197.8352060818497,175.87318420410156,265.6679382324219,0.1417326778173446,0.0711127668619155
Mali,,15.679794502775383,36.48114495035614,84.0736356805724,99.989013671875,532.9698486328125,0.2023786157369613,0.5099398493766785
Lesotho,,21.21070344404378,34.22343352411415,62.31394050178063,164.6293487548828,151.56849670410156,0.2504713833332062,0.150507315993309
El Salvador,,17.359514687461,229.85694534764323,898.3746090818579,175.10845947265625,309.9176940917969,0.306361973285675,0.1027765795588493
Montserrat,,3.655751352159296,4.069542428984612,3.8966038388023376,443.0270690917969,515.2135620117188,0.7221742272377014,0.7564959526062012
Ireland,,246.2064354799317,346.09336637233025,738.5670627836142,1402.83642578125,5743.71484375,0.1281835734844207,0.2006390690803527
Liberia,,2.966983261467169,56135.41699075496,265218.69863558054,349.1462097167969,141.6201934814453,0.6087350249290466,0.2195596098899841
Marshall Islands,,7814.768220002473,8458.150695432418,9634.62471161823,5745.40380859375,6913.2890625,0.8709886074066162,0.8221765160560608
Greece,,95.2018309133715,112.626492683525,209.63504106515575,608.7620849609375,177.62139892578125,0.3077398538589477,0.0685250759124755
Iceland,,73.44892349625763,57.36096365805869,29.51195825279827,428.1669616699219,661.3192749023438,0.4237931370735168,0.5738421678543091
Myanmar,,3.717488043372762,127.2906926851291,569.1192952411769,406.6481628417969,398.7796325683594,0.6798223257064819,0.5982205867767334
Kenya,,29.97953720182011,343.28417423163177,1368.4999455670047,264.1629333496094,1105.9237060546875,0.4223258793354034,1.3795166015625
Martinique,,6.662440669038715,20.396919584358397,62.73809094767599,403.23345947265625,450.92333984375,0.690770149230957,0.696598470211029
Mauritania,,73.9868808710397,132.0081503147467,373.4424762985329,178.7091827392578,352.2283630371094,0.1788045018911361,0.0605512596666812
Libya,,40.47670084438473,882.32449568526,3826.4078338474674,105.11634826660156,1195.2308349609375,0.2039301544427871,0.7406559586524963
Azerbaijan,,43.30664048721117,1220.8410443852135,5598.918348503796,146.70843505859375,1801.16650390625,0.1383174806833267,0.7520321607589722
Kuwait,,172.99168179950894,922.4720465306756,3512.330200841274,221.9616241455078,4112.54443359375,0.3181638121604919,0.5564618706703186
Monaco,,2.736605731086477,10.00215906168659,33.532638648622466,390.2509460449219,386.1300659179688,0.6936936378479004,0.6156448721885681
Madagascar,,9.167376229357693,98.9585642824256,385.2618337604778,363.7863464355469,407.93505859375,0.6274725198745728,0.6075213551521301
Namibia,,38.13689974108987,410.64325965393,1600.8928388443348,111.60627746582033,2292.037353515625,0.1180791705846786,0.656245768070221
Liechtenstein,,0.8806006685039042,104.24974197732251,489.2915874171628,432.05419921875,313.2965087890625,0.7667034268379211,0.5017397403717041
New Zealand,,265.5392029674198,243.44726325128693,203.96553560937647,60.50223159790039,89.84474182128906,0.0671694278717041,0.0724386721849441
Indonesia,,90.6784137798909,200.1316383158526,544.3182135946536,512.4574584960938,2133.653564453125,0.1294503062963485,0.1422733217477798
Mayotte,,45.77056059364897,59.335019039151085,127.02952913240948,187.7597503662109,138.9905242919922,0.3516496121883392,0.0800806134939193
Latvia,,33.32595667838428,30.164156650390485,30.34766667544012,160.9704132080078,167.54611206054688,0.2533283829689026,0.2044658958911895
Netherlands,,1321.2105341167137,1271.636056792402,1256.590139691328,2433.952880859375,3006.54248046875,0.258939653635025,0.0709618106484413
Nauru,,1543.291691478214,1628.1369017685324,1823.609800961164,1582.0645751953125,2064.583251953125,0.6922101974487305,0.8246954679489136
Bangladesh,,618.9346852036285,6649.628220380429,27184.44810989776,1526.37939453125,23055.150390625,0.1390978842973709,0.6605660319328308
New Caledonia,,1.171767682418771,0.9697013685483912,0.9544149820916052,450.5495300292969,529.9429931640625,0.7609142661094666,0.8096383213996887
Montenegro,,166.74819767480702,6634.709444784099,29063.896400456128,974.6647338867188,4039.45361328125,0.4075003266334533,1.1674091815948486
Gabon,,55.03738113359952,26565.74990450052,124513.05491219836,194.83175659179688,634.587646484375,0.2808650434017181,0.189298465847969
Malta,,16.394764006802486,22.71903998851123,45.36629290170348,271.86383056640625,117.20427703857422,0.475150316953659,0.1752229332923889
Niger,,25.384125514407604,25.83642020172923,25.04299875983213,44.1025276184082,97.76427459716795,0.0907393023371696,0.1146542206406593
Honduras,,75.22704833558248,928.220812917413,3611.378708787118,149.36004638671875,910.1612548828124,0.240880936384201,0.254290908575058
Malaysia,,96.642913931241,120.03450451927158,241.89362449112477,383.8141479492188,307.5126037597656,0.1482037007808685,0.0475789457559585
Guyana,,3.024316459237834,17.713817398573752,61.57925148981617,414.4317321777344,368.7744445800781,0.7145223617553711,0.5714622139930725
Nicaragua,,99.30017950020216,184.53441992590496,496.982330241912,221.63626098632807,568.7398071289062,0.1809207051992416,0.2681072056293487
Jordan,,20.254070994576868,60.86566813642128,179.1785960040102,239.95452880859372,103.84087371826172,0.3999923169612884,0.1517960727214813
Jersey,,28.349236090106047,68.12298434340528,221.99918210487644,345.4324035644531,378.81585693359375,0.5750333666801453,0.5644767880439758
Paraguay,,39.45683192870554,72.53015622599267,211.969209484754,220.5856170654297,109.1169891357422,0.4140323102474212,0.1120707020163536
North Macedonia,,67.28440063330937,124.19764271366304,334.3436611107162,188.29251098632807,145.91111755371094,0.2564688920974731,0.0790276601910591
Dominica,,7.506554302642915,128.38520431563984,568.162875773705,455.18310546875,509.2485961914063,0.7704963088035583,0.7771393656730652
